Погода на 3 дня в городе: Kazan
        Дата              Температура             Осадки          Скорость ветра м/c
2023-10-19 12:00:00           6                Rain               4
2023-10-20 00:00:00           2                Clouds               2
2023-10-20 12:00:00           4                Rain               0
2023-10-21 00:00:00           4                Rain               4
2023-10-21 12:00:00           4                Clouds               7
2023-10-22 00:00:00           -1                Clear               5
2023-10-22 12:00:00           3                Clouds               4
2023-10-23 00:00:00           0                Clouds               3
2023-10-23 12:00:00           2                Snow               6
2023-10-24 00:00:00           0                Clouds               5
